N;wordnetid;name;description
605;n01773549;barn spider, Araneus cavaticus;"an orange and tan spider with darkly banded legs that spins an orb web daily; ""the barn spider was made famous in E. B. Whites ... <Preview truncated at 128 characters>"
518;n02794156;barometer;an instrument that measures atmospheric pressure
447;n02514041;barracouta, snoek;a large marine food fish common on the coasts of Australia, New Zealand, and southern Africa
905;n02795169;barrel, cask;a cylindrical container that holds liquids
258;n02797295;barrow, garden cart, lawn cart, wheelbarrow;"a cart for carrying small loads; has handles and one or more wheels"
807;n02799071;baseball;a ball used in playing baseball
84;n02110806;basenji;small smooth-haired breed of African origin having a tightly curled tail and the inability to bark
908;n02802426;basketball;an inflated ball used in playing basketball
161;n02088238;basset, basset hound;smooth-haired breed of hound with short legs and long ears
296;n02804414;bassinet;a basket (usually hooded) used as a babys bed
353;n02804610;bassoon;"a double-reed instrument; the tenor of the oboe family"
909;n02808304;bath towel;"a large towel; to dry yourself after a bath"
785;n02807133;bathing cap, swimming cap;a tight-fitting cap that keeps hair dry while swimming
884;n02808440;bathtub, bathing tub, bath, tub;a relatively large open container that you fill with water and use to wash the body
266;n02814533;beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon;a car that has a long body and rear door with space behind rear seat
733;n02814860;beacon, lighthouse, beacon light, pharos;a tower with a light that gives warning of shoals to passing ships
132;n02088364;beagle;a small short-legged smooth-coated breed of hound
991;n02815834;beaker;"a flatbottomed jar made of glass or plastic; used for chemistry"
849;n02817516;bearskin, busby, shako;"tall hat; worn by some British soldiers on ceremonial occasions"
195;n02363005;beaver;"large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges"
119;n02093647;Bedlington terrier;a light terrier groomed to resemble a lamb
630;n02206856;bee;any of numerous hairy-bodied insects including social and solitary species
413;n01828970;bee eater;"colorful chiefly tropical Old World bird having a strong graceful flight; feeds on especially bees"
777;n02823428;beer bottle;a bottle that holds beer
811;n02823750;beer glass;a relatively large glass for serving beer
933;n02825657;bell cote, bell cot;"a small shelter for bells; has a gable or shed roof"
735;n07720875;bell pepper;large bell-shaped sweet pepper in green or red or yellow or orange or black varieties
86;n02107683;Bernese mountain dog;large powerful long-haired black-coated Swiss dog with deep tan or russet markings on legs and white blaze and feet and chest ma... <Preview truncated at 128 characters>
941;n02834397;bib;"top part of an apron; covering the chest"
254;n02835271;bicycle-built-for-two, tandem bicycle, tandem;a bicycle with two sets of pedals and two seats
52;n02415577;bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis;wild sheep of mountainous regions of western North America having massive curled horns
985;n02837789;bikini, two-piece;a womans very brief bathing suit
835;n02840245;binder, ring-binder;holds loose papers or magazines
533;n02841315;binoculars, field glasses, opera glasses;an optical instrument designed for simultaneous use by both eyes
839;n02843684;birdhouse;a shelter for birds
165;n02410509;bison;any of several large humped bovids having shaggy manes and large heads and short horns
428;n02011460;bittern;"relatively small compact tawny-brown heron with nocturnal habits and a booming cry; found in marshes"
604;n01773157;black and gold garden spider, Argiope aurantia;a widely distributed North American garden spider
401;n01795545;black grouse;grouse of which the male is bluish-black
423;n02002724;black stork, Ciconia nigra;Old World stork that is glossy black above and white below
421;n01860187;black swan, Cygnus atratus;large Australian swan having black plumage and a red bill
607;n01774384;black widow, Latrodectus mactans;"venomous New World spider; the female is black with an hourglass-shaped red mark on the underside of the abdomen"
42;n02089078;black-and-tan coonhound;American breed of large powerful hound dogs used for hunting raccoons and other game
40;n02443484;black-footed ferret, ferret, Mustela nigripes;"musteline mammal of prairie regions of United States; nearly extinct"
198;n02086646;Blenheim spaniel;red-and-white variety of English toy spaniel
32;n02088466;bloodhound, sleuthhound;a breed of large powerful hound of European origin having very acute smell and used in tracking
180;n02088632;bluetick;"a very fast American hound; white mottled with bluish grey"
486;n01742172;boa constrictor, Constrictor constrictor;very large boa of tropical America and West Indies
689;n02859443;boathouse;"a shed at the edge of a river or lake; used to store boats"
252;n02860847;bobsled, bobsleigh, bob;a long racing sled (for 2 or more people) with a steering mechanism
981;n13054560;bolete;any fungus of the family Boletaceae
940;n02865351;bolo tie, bolo, bola tie, bola;a cord fastened around the neck with an ornamental clasp and worn as a necktie
805;n02869837;bonnet, poke bonnet;a hat tied under the chin
774;n07248320;book jacket, dust cover, dust jacket, dust wrapper;"a paper jacket for a book; a jacket on which promotional information is usually printed"
300;n02870880;bookcase;a piece of furniture with shelves for storing books
706;n02871525;bookshop, bookstore, bookstall;a shop where books are sold
128;n02106166;Border collie;developed in the area between Scotland and England usually having a black coat with white on the head and tip of tail used for h... <Preview truncated at 128 characters>
210;n02093754;Border terrier;small rough-coated terrier of British origin
105;n02090622;borzoi, Russian wolfhound;tall fast-moving dog breed
113;n02096585;Boston bull, Boston terrier;small pug-faced American terrier breed having a smooth brindle or black coat with white markings
779;n02877765;bottlecap;a cap that seals a bottle
47;n02106382;Bouvier des Flandres, Bouviers des Flandres;rough-coated breed used originally in Belgium for herding and guarding cattle
538;n02879718;bow;a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow
817;n02883205;bow tie, bow-tie, bowtie;a mans tie that ties in a bow
462;n01669191;box turtle, box tortoise;"chiefly terrestrial turtle of North America; shell can be closed tightly"
130;n02108089;boxer;a breed of stocky medium-sized short-haired dog with a brindled coat and square-jawed muzzle developed in Germany
70;n02112706;Brabancon griffon;a variety of Brussels griffon having a short smooth coat
649;n01917289;brain coral;massive reef-building coral having a convoluted and furrowed surface
386;n01530575;brambling, Fringilla montifringilla;Eurasian finch
716;n02892201;brass, memorial tablet, plaque;a memorial made of brass
872;n02892767;brassiere, bra, bandeau;an undergarment worn by women to support their breasts
719;n02894605;breakwater, groin, groyne, mole, bulwark, seawall, jetty;"a protective structure of stone or concrete; extends from shore into the water to prevent a beach from washing away"
949;n02895154;breastplate, aegis, egis;"armor plate that protects the chest; the front part of a cuirass"
208;n02105251;briard;old French breed of large strong usually black dogs having a long tail and long wavy and slightly stiff coat
150;n02101388;Brittany spaniel;tall active short-tailed French breed of bird dog having a usually smooth orange- or liver-and-white coat
737;n07714990;broccoli;branched green undeveloped flower heads
851;n02906734;broom;"a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle"
61;n02132136;brown bear, bruin, Ursus arctos;large ferocious bear of Eurasia
992;n09229709;bubble;a hollow globule of gas (e.g., air or carbon dioxide)
820;n02909870;bucket, pail;a roughly cylindrical vessel that is open at the top
332;n12768682;buckeye, horse chestnut, conker;the inedible nutlike seed of the horse chestnut
580;n02910353;buckle;"fastener that fastens together two ends of a belt or strap; often has loose prong"
392;n01560419;bulbul;nightingale spoken of in Persian poetry
140;n02108422;bull mastiff;large powerful breed developed by crossing the bulldog and the mastiff
887;n02917067;bullet train, bullet;a high-speed passenger train
833;n02916936;bulletproof vest;a vest capable of resisting the impact of a bullet
499;n01641577;bullfrog, Rana catesbeiana;"largest North American frog; highly aquatic with a deep-pitched voice"
900;n07880968;burrito;a flour tortilla folded around a filling
432;n02018795;bustard;"large heavy-bodied chiefly terrestrial game bird capable of powerful swift flight; classified with wading birds but frequents gr... <Preview truncated at 128 characters>"
707;n02927161;butcher shop, meat market;a shop in which meat and poultry (and sometimes fish) are sold
742;n07717556;butternut squash;buff-colored squash with a long usually straight neck and sweet orange flesh
267;n02930766;cab, hack, taxi, taxicab;a car driven by a person whose job is to take passengers where they want to go in exchange for money
644;n02280649;cabbage butterfly;white butterfly whose larvae (cabbageworms) feed on cabbage
91;n02096177;cairn, cairn terrier;small rough-haired breed of terrier from Scotland
673;n02939185;caldron, cauldron;a very large pot that is used for boiling
377;n02951585;can opener, tin opener;a device for cutting cans open
591;n02948072;candle, taper, wax light;stick of wax with a wick in the middle
539;n02950826;cannon;heavy gun fired from a tank
239;n02951358;canoe;"small and light boat; pointed at both ends; propelled with a paddle"
142;n02492035;capuchin, ringtail, Cebus capucinus;monkey of Central America and South America having thick hair on the head that resembles a monks cowl
576;n02965783;car mirror;a mirror that the driver of a car can use
563;n02974003;car wheel;"a wheel that has a tire and rim and hubcap; used to propel the car"
999;n07831146;carbonara;"sauce for pasta; contains eggs and bacon or ham and grated cheese"
836;n02963159;cardigan;knitted jacket that is fastened up the front with buttons or a zipper
50;n02113186;Cardigan, Cardigan Welsh corgi;slightly bowlegged variety of corgi having rounded ears and a long tail
745;n07730033;cardoon;"only parts eaten are roots and especially stalks (blanched and used as celery); related to artichokes"
568;n02966193;carousel, carrousel, merry-go-round, roundabout, whirligig;a large, rotating machine with seats for children to ride or amusement
891;n02966687;carpenters kit, tool kit;a set of carpenters tools
749;n02971356;carton;"a box made of cardboard; opens by flaps on top"
548;n02977058;cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM;an unattended machine (outside some banks) that dispenses money when a personal coded card is used
890;n02978881;cassette;a container that holds a magnetic tape used for recording or playing sound or video
929;n02979186;cassette player;electronic equipment for playing cassettes
701;n02980441;castle;a large building formerly occupied by a ruler and fortified against attack
241;n02981792;catamaran;a sailboat with two parallel hulls held together by single deck
738;n07715103;cauliflower;compact head of white undeveloped flowers
987;n02988304;CD player;a stand-alone piece of electronic equipment that either has its own display or attaches to a television set
342;n02992211;cello, violoncello;"a large stringed instrument; seated player holds it upright while playing"
914;n02992529;cellular telephone, cellular phone, cellphone, cell, mobile phone;a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/rece... <Preview truncated at 128 characters>
611;n01784675;centipede;chiefly nocturnal predacious arthropod having a flattened body of 15 to 173 segments each with a pair of legs, the foremost pair... <Preview truncated at 128 characters>
827;n02999410;chain;a series of (usually metal) rings or links fitted into one another to make a flexible ligament
902;n03000247;chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour;(Middle Ages) flexible armor made of interlinked metal rings
382;n03000684;chain saw, chainsaw;"portable power saw; teeth linked to form an endless chain"
721;n03000134;chainlink fence;a fence of steel wires woven into a diamond pattern
226;n01968897;chambered nautilus, pearly nautilus, nautilus;cephalopod of the Indian and Pacific oceans having a spiral shell with pale pearly partitions
993;n07697313;cheeseburger;a hamburger with melted cheese on it
206;n02130308;cheetah, chetah, Acinonyx jubatus;"long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run d... <Preview truncated at 128 characters>"
139;n02099849;Chesapeake Bay retriever;American breed having a short thick oily coat ranging from brown to light tan
762;n03014705;chest;"box with a lid; used for storage; usually large and sturdy"
395;n01592084;chickadee;any of various small grey-and-black songbirds of North America
303;n03016953;chiffonier, commode;a tall elegant chest of drawers
173;n02085620;Chihuahua;an old breed of tiny short-haired dog with protruding eyes from Mexico held to antedate Aztec civilization
335;n03017168;chime, bell, gong;"a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument"
96;n02481823;chimpanzee, chimp, Pan troglodytes;intelligent somewhat arboreal ape of equatorial African forests
301;n03018349;china cabinet, china closet;a cabinet (usually with glass doors) for storing and displaying china
656;n01955084;chiton, coat-of-mail shell, sea cradle, polyplacophore;primitive elongated bilaterally symmetrical marine mollusk having a mantle covered with eight calcareous plates
953;n07836838;chocolate sauce, chocolate syrup;sauce made with unsweetened chocolate or cocoa and sugar and water
168;n02112137;chow, chow chow;"breed of medium-sized dogs with a thick coat and fluffy curled tails and distinctive blue-black tongues; believed to have origin... <Preview truncated at 128 characters>"
801;n03026506;Christmas stocking;a stocking that is filled with small Christmas presents
690;n03028079;church, church building;"a place for public (especially Christian) worship; ""the church was empty"""
636;n02256656;cicada, cicala;"stout-bodied insect with large membranous wings; male has drum-like organs for producing a high-pitched drone"
695;n03032252;cinema, movie theater, movie theatre, movie house, picture palace;a theater where films are shown
370;n03041632;cleaver, meat cleaver, chopper;a butchers knife having a large square blade
713;n03042490;cliff dwelling;"a rock and adobe dwelling built on sheltered ledges in the sides of a cliff; ""the Anasazi built cliff dwellings in the southwest... <Preview truncated at 128 characters>"
359;n09246464;cliff, drop, drop-off;"a steep high face of rock; ""he stood on a high cliff overlooking the town""; ""a steep drop"""
797;n03045698;cloak;anything that covers or conceals
979;n03047690;clog, geta, patten, sabot;footwear usually with wooden soles
94;n02101556;clumber, clumber spaniel;a thickset spaniel with longish silky hair
383;n01514668;cock;adult male bird
191;n02102318;cocker spaniel, English cocker spaniel, cocker;"a small breed with wavy silky hair; originally developed in England"
634;n02233338;cockroach, roach;"any of numerous chiefly nocturnal insects; some are domestic pests"
761;n03062245;cocktail shaker;a shaker for mixing cocktails
996;n03063599;coffee mug;a mug intended for serving coffee
674;n03063689;coffeepot;tall pot in which coffee is brewed
448;n02536864;coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch;small salmon of northern Pacific coasts and the Great Lakes
698;n03065424;coil, spiral, volute, whorl, helix;"a structure consisting of something wound in a continuous series of loops; ""a coil of rope"""
124;n02106030;collie;a silky-coated sheepdog with a long ruff and long narrow head developed in Scotland
54;n02488702;colobus, colobus monkey;arboreal monkey of western and central Africa with long silky fur and reduced thumbs
583;n03075370;combination lock;lock that can be opened only by turning dials in a special sequence
930;n06596364;comic book;a magazine devoted to comic strips
464;n01677366;common iguana, iguana, Iguana iguana;"large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America an... <Preview truncated at 128 characters>"
495;n01630670;common newt, Triturus vulgaris;small semiaquatic salamander
543;n03085013;computer keyboard, keypad;"a keyboard that is a data input device for computers; arrangement of keys is modelled after the typewriter keyboard"
652;n01943899;conch;any of various edible tropical marine gastropods of the genus Strombus having a brightly-colored spiral shell with large outer l... <Preview truncated at 128 characters>
708;n03089624;confectionery, confectionary, candy store;a confectioners shop
844;n07584110;consomme;clear soup usually of beef or veal or chicken
243;n03095699;container ship, containership, container vessel;"a cargo ship designed to hold containerized cargoes; ""the weight of the documentation of all the consignments on board a contemp... <Preview truncated at 128 characters>"
268;n03100240;convertible;a car that has top that can be folded or removed
886;n12985857;coral fungus;any of numerous fungi of the family Clavariaceae often brightly colored that grow in often intricately branched clusters like co... <Preview truncated at 128 characters>
365;n09256479;coral reef;a reef consisting of coral consolidated into limestone
376;n03109150;corkscrew, bottle screw;a bottle opener that pulls corks
331;n12144580;corn;the dried grains or kernels or corn used as animal feed or ground for meal
347;n03110669;cornet, horn, trumpet, trump;"a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves"
412;n01824575;coucal;Old World ground-living cuckoo having a long dagger-like hind claw
11;n02125311;cougar, puma, catamount, mountain lion, painter, panther, Felis concolor;large American feline resembling a lion
910;n03124043;cowboy boot;"a boot with a high arch and fancy stitching; worn by American cowboys"
881;n03124170;cowboy hat, ten-gallon hat;"a hat with a wide brim and a soft crown; worn by American ranch hands"
58;n02114855;coyote, prairie wolf, brush wolf, Canis latrans;small wolf native to western North America
297;n03125729;cradle;a baby bed with sides and rockers
429;n02012849;crane;large long-necked wading bird of marshes and plains in many parts of the world
545;n03126707;crane;"lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis"
778;n03127747;crash helmet;"a padded helmet worn by people riding bicycles or motorcycles; protects the head in case of accidents"
898;n03127925;crate;"a rugged box (usually made of wood); used for shipping"
619;n01985128;crayfish, crawfish, crawdad, crawdaddy;small freshwater decapod crustacean that resembles a lobster
298;n03131574;crib, cot;baby bed with high sides made of slats
632;n02229544;cricket;"leaping insect; male makes chirping noises by rubbing the forewings together"
670;n03133878;Crock Pot;an electric cooker that maintains a relatively low temperature
756;n03134739;croquet ball;a wooden ball used in playing croquet
791;n06785654;crossword puzzle, crossword;a puzzle in which words corresponding to numbered clues are to be found and written in to squares in the puzzle
856;n03141823;crutch;"a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking"
743;n07718472;cucumber, cuke;"cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons"
865;n03146219;cuirass;medieval body armor that covers the chest and back
859;n07930864;cup;a punch served in a pitcher instead of a punch bowl
144;n02099429;curly-coated retriever;"an English breed having a tightly curled black or liver-colored coat; retrieves game from land or water"
325;n07760859;custard apple;the fruit of any of several tropical American trees of the genus Annona having soft edible pulp
357;n11939491;daisy;any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
41;n02110341;dalmatian, coach dog, carriage dog;"a large breed having a smooth white coat with black or brown spots; originated in Dalmatia"
720;n03160309;dam, dike, dyke;a barrier constructed to contain the flow of water or to keep out the sea
640;n02268853;damselfly;slender non-stinging insect similar to but smaller than the dragonfly but having wings folded when at rest
27;n02096437;Dandie Dinmont, Dandie Dinmont terrier;a breed of small terrier with long wiry coat and drooping ears
313;n03179701;desk;a piece of furniture with a writing surface and usually drawers or other compartments
550;n03180011;desktop computer;a personal computer small enough to fit conveniently in an individual workspace
136;n02115913;dhole, Cuon alpinus;fierce wild dog of the forests of central and southeast Asia that hunts in packs
959;n03187595;dial telephone, dial phone;a telephone with a dial for registering the number to be called
492;n01755581;diamondback, diamondback rattlesnake, Crotalus adamanteus;large deadly rattlesnake with diamond-shaped markings
966;n03188531;diaper, nappy, napkin;"garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement"
523;n03196217;digital clock;a clock that displays the time of day digitally
529;n03197337;digital watch;a watch with a digital display
155;n02115641;dingo, warrigal, warragal, Canis dingo;wolflike yellowish-brown wild dog of Australia
315;n03201208;dining table, board;"a table at which meals are served; ""he helped her clear the dining table""; ""a feast was spread upon the board"""
821;n03207743;dishrag, dishcloth;a cloth for washing dishes
667;n03207941;dishwasher, dish washer, dishwashing machine;a machine for washing dishes
579;n03208938;disk brake, disc brake;hydraulic brake in which friction is applied to both sides of a spinning disk by the brake pads
112;n02107142;Doberman, Doberman pinscher;"medium large breed of dog of German origin with a glossy black and tan coat; used as a watchdog"
715;n03216828;dock, dockage, docking facility;"landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out; ""the ... <Preview truncated at 128 characters>"
253;n03218198;dogsled, dog sled, dog sleigh;a sled pulled by dogs
897;n03220513;dome;a hemispherical roof
972;n03223299;doormat, welcome mat;a mat placed outside an exterior door for wiping the shoes before entering
864;n07860988;dough;a flour mixture stiff enough to knead or roll
436;n02033041;dowitcher;shorebird of the sandpiper family that resembles a snipe
639;n02268443;dragonfly, darning needle, devils darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk;"slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc."
418;n01847000;drake;adult male of a wild or domestic duck
834;n03240683;drilling platform, offshore rig;drilling rig consisting of an offshore platform (floating or fixed to the sea bed) from which many oil wells can be bored radial... <Preview truncated at 128 characters>
336;n03249569;drum, membranophone, tympan;"a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end"
799;n03250847;drumstick;a stick used for playing a drum
193;n02074367;dugong, Dugong dugon;"sirenian tusked mammal found from eastern Africa to Australia; the flat tail is bilobate"
1000;n03255030;dumbbell;"an exercising weight; two spheres connected by a short bar that serves as a handle"
626;n02172182;dung beetle;any of numerous beetles that roll balls of dung on which they feed and in which they lay eggs
613;n01978287;Dungeness crab, Cancer magister;small edible crab of Pacific coast of North America
662;n03259280;Dutch oven;an oven consisting of a metal box for cooking in front of a fire
329;n13133613;ear, spike, capitulum;fruiting spike of a cereal plant especially corn
878;n13044778;earthstar;"any fungus of the family Geastraceae; in form suggesting a puffball whose outer peridium splits into the shape of a star"
215;n01872401;echidna, spiny anteater, anteater;"a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Aust... <Preview truncated at 128 characters>"
451;n02526121;eel;voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin bu... <Preview truncated at 128 characters>
496;n01631663;eft;a newt in its terrestrial stage of development
823;n07932039;eggnog;a punch made of sweetened milk or cream mixed with eggs and usually alcoholic liquor
8;n02124075;Egyptian cat;a domestic cat of Egypt
512;n03271574;electric fan, blower;a fan run by an electric motor
346;n03272010;electric guitar;a guitar whose sound is amplified by electrical means
262;n03272562;electric locomotive;a locomotive that is powered by an electric motor
445;n01496331;electric ray, crampfish, numbfish, torpedo;any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head... <Preview truncated at 128 characters>
207;n02089973;English foxhound;an English breed slightly larger than the American foxhounds originally used to hunt in packs
2;n02100735;English setter;an English breed having a plumed tail and a soft silky coat that is chiefly white
5;n02102040;English springer, English springer spaniel;a breed having typically a black-and-white coat
316;n03290653;entertainment center;a wall unit containing sound and television systems
79;n02108000;EntleBucher;the smallest of the Sennenhunde
879;n03291819;envelope;a flat (usually rectangular) container for a letter, thin package, etc.
149;n02109961;Eskimo dog, husky;breed of heavy-coated Arctic sled dog
947;n07920052;espresso;strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans
660;n03297495;espresso maker;a coffee maker that forces live steam under pressure through dark roasted coffee grounds
494;n01629819;European fire salamander, Salamandra salamandra;a kind of European salamander
438;n02017213;European gallinule, Porphyrio porphyrio;purple gallinule of southern Europe
808;n03314780;face powder;cosmetic powder for the face
796;n03325584;feather boa, boa;a long thin fluffy scarf of feathers or fur
615;n01980166;fiddler crab;burrowing crab of American coastal regions having one claw much enlarged in the male
321;n07753113;fig;fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried
305;n03337140;file, file cabinet, filing cabinet;office furniture consisting of a container for keeping papers in order
279;n03345487;fire engine, fire truck;any of various large trucks that carry firemen and equipment to the site of a fire
919;n03347037;fire screen, fireguard;a metal screen before an open fire for protection (especially against flying sparks)
235;n03344393;fireboat;a boat equipped to fight fires on ships or along a waterfront
995;n03355925;flagpole, flagstaff;a tall staff or pole on which a flag is raised
425;n02007558;flamingo;"large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes"
